Username,OrganizationId,PositionName,StartDate,EndDate
1816745,385103,Signatory,09/18/2024,
1762922,187516,Signatory,09/18/2024,
1762922,232039,Signatory,09/18/2024,
1883453,91246,Signatory,09/18/2024,
1869907,56944,Signatory,09/18/2024,
1816297,368347,Signatory,09/18/2024,
1765438,368914,Signatory,09/18/2024,
1093225,144583,Signatory,09/18/2024,
1821696,139269,Signatory,09/18/2024,
1869269,378399,Signatory,09/18/2024,
1869269,165797,Signatory,09/18/2024,
1814560,223314,Signatory,09/18/2024,
1758980,158361,Signatory,09/18/2024,
1758980,360310,Signatory,09/18/2024,
1758980,56571,Signatory,09/18/2024,
1764456,160137,Signatory,09/18/2024,
1861896,221473,Signatory,09/18/2024,
1801045,46098,Signatory,09/18/2024,
1809307,46054,Signatory,09/18/2024,
1806815,322283,Signatory,09/18/2024,
1768429,218933,Signatory,09/18/2024,
1803470,378176,Signatory,09/18/2024,
1883453,91246,Signatory,09/18/2024,
1768429,218933,Signatory,09/18/2024,
1860528,46383,Signatory,09/18/2024,
1864244,139535,Signatory,09/18/2024,
